key,keyword,object_name,scope,unit,canonical_field
TIME,TIME,,field,,time_days
YEARS,YEARS,,other,,
FGIP,FGIP,,field,,
FGIPG,FGIPG,,field,,
FGIPL,FGIPL,,field,,
FGIR,FGIR,,field,,
FGIT,FGIT,,field,,
FGOR,FGOR,,field,,
FGPR,FGPR,,field,,gas_rate_m3_day
FGPT,FGPT,,field,,cumulative_gas_m3
FOIP,FOIP,,field,,
FOIPG,FOIPG,,field,,
FOIPL,FOIPL,,field,,
FOIR,FOIR,,field,,
FOIT,FOIT,,field,,
FOPR,FOPR,,field,,oil_rate_m3_day
FOPT,FOPT,,field,,cumulative_oil_m3
FPR,FPR,,field,,field_pressure_bar
FVIR,FVIR,,field,,
FVIT,FVIT,,field,,
FVPR,FVPR,,field,,
FVPT,FVPT,,field,,
FWCT,FWCT,,field,,water_cut_fraction
FWIP,FWIP,,field,,
FWIR,FWIR,,field,,water_injection_rate_m3_day
FWIT,FWIT,,field,,cumulative_injected_water_m3
FWPR,FWPR,,field,,water_rate_m3_day
FWPT,FWPT,,field,,cumulative_water_m3
GGIR:I,GGIR,I,group,,
GGIR:P,GGIR,P,group,,
GGIT:I,GGIT,I,group,,
GGIT:P,GGIT,P,group,,
GGOR:I,GGOR,I,group,,
GGOR:P,GGOR,P,group,,
GGPR:I,GGPR,I,group,,
GGPR:P,GGPR,P,group,,
GGPT:I,GGPT,I,group,,
GGPT:P,GGPT,P,group,,
GOIR:I,GOIR,I,group,,
GOIR:P,GOIR,P,group,,
GOIT:I,GOIT,I,group,,
GOIT:P,GOIT,P,group,,
GOPR:I,GOPR,I,group,,
GOPR:P,GOPR,P,group,,
GOPT:I,GOPT,I,group,,
GOPT:P,GOPT,P,group,,
GVIR:I,GVIR,I,group,,
GVIR:P,GVIR,P,group,,
GVIT:I,GVIT,I,group,,
GVIT:P,GVIT,P,group,,
GVPR:I,GVPR,I,group,,
GVPR:P,GVPR,P,group,,
GVPT:I,GVPT,I,group,,
GVPT:P,GVPT,P,group,,
GWCT:I,GWCT,I,group,,
GWCT:P,GWCT,P,group,,
GWIR:I,GWIR,I,group,,
GWIR:P,GWIR,P,group,,
GWIT:I,GWIT,I,group,,
GWIT:P,GWIT,P,group,,
GWPR:I,GWPR,I,group,,
GWPR:P,GWPR,P,group,,
GWPT:I,GWPT,I,group,,
GWPT:P,GWPT,P,group,,
WBHP:INJE01,WBHP,INJE01,well,,well_bhp_bar
WBHP:PROD01,WBHP,PROD01,well,,well_bhp_bar
WGIR:INJE01,WGIR,INJE01,well,,
WGIR:PROD01,WGIR,PROD01,well,,
WGIT:INJE01,WGIT,INJE01,well,,
WGIT:PROD01,WGIT,PROD01,well,,
WGLIR:INJE01,WGLIR,INJE01,well,,
WGLIR:PROD01,WGLIR,PROD01,well,,
WGOR:INJE01,WGOR,INJE01,well,,
WGOR:PROD01,WGOR,PROD01,well,,
WGPR:INJE01,WGPR,INJE01,well,,well_gas_rate_m3_day
WGPR:PROD01,WGPR,PROD01,well,,well_gas_rate_m3_day
WGPT:INJE01,WGPT,INJE01,well,,
WGPT:PROD01,WGPT,PROD01,well,,
WOIR:INJE01,WOIR,INJE01,well,,
WOIR:PROD01,WOIR,PROD01,well,,
WOIT:INJE01,WOIT,INJE01,well,,
WOIT:PROD01,WOIT,PROD01,well,,
WOPP:PROD01,WOPP,PROD01,well,,
WOPR:INJE01,WOPR,INJE01,well,,well_oil_rate_m3_day
WOPR:PROD01,WOPR,PROD01,well,,well_oil_rate_m3_day
WOPT:INJE01,WOPT,INJE01,well,,
WOPT:PROD01,WOPT,PROD01,well,,
WPI:INJE01,WPI,INJE01,well,,
WPI:PROD01,WPI,PROD01,well,,
WTHP:INJE01,WTHP,INJE01,well,,
WTHP:PROD01,WTHP,PROD01,well,,
WVIR:INJE01,WVIR,INJE01,well,,
WVIR:PROD01,WVIR,PROD01,well,,
WVIT:INJE01,WVIT,INJE01,well,,
WVIT:PROD01,WVIT,PROD01,well,,
WVPR:INJE01,WVPR,INJE01,well,,
WVPR:PROD01,WVPR,PROD01,well,,
WVPT:INJE01,WVPT,INJE01,well,,
WVPT:PROD01,WVPT,PROD01,well,,
WWCT:INJE01,WWCT,INJE01,well,,well_water_cut_fraction
WWCT:PROD01,WWCT,PROD01,well,,well_water_cut_fraction
WWGR:INJE01,WWGR,INJE01,well,,
WWGR:PROD01,WWGR,PROD01,well,,
WWIP:INJE01,WWIP,INJE01,well,,
WWIR:INJE01,WWIR,INJE01,well,,well_water_injection_rate_m3_day
WWIR:PROD01,WWIR,PROD01,well,,well_water_injection_rate_m3_day
WWIT:INJE01,WWIT,INJE01,well,,
WWIT:PROD01,WWIT,PROD01,well,,
WWPR:INJE01,WWPR,INJE01,well,,well_water_rate_m3_day
WWPR:PROD01,WWPR,PROD01,well,,well_water_rate_m3_day
WWPT:INJE01,WWPT,INJE01,well,,
WWPT:PROD01,WWPT,PROD01,well,,
